attendance_id,employee_id,attendance_date,attendance_status,working_hours
900001,10001,2025-01-01,Present,8
900002,10001,2025-02-01,Present,8
900003,10001,2025-03-01,Present,8
900004,10001,2025-04-01,Present,8
900005,10001,2025-05-01,Present,8
900006,10001,2025-06-01,Absent,0
900007,10001,2025-07-01,Present,8
900008,10001,2025-08-01,Present,8
900009,10001,2025-09-01,Present,8
900010,10001,2025-10-01,Present,8
900011,10001,2025-11-01,Present,8
900012,10001,2025-12-01,Work From Home,8
900013,10002,2025-01-01,Present,8
900014,10002,2025-02-01,Present,8
900015,10002,2025-03-01,Present,8
900016,10002,2025-04-01,Present,8
900017,10002,2025-05-01,Work From Home,8
900018,10002,2025-06-01,Present,8
900019,10002,2025-07-01,Present,8
900020,10002,2025-08-01,Present,8
900021,10002,2025-09-01,Work From Home,8
900022,10002,2025-10-01,Present,8
900023,10002,2025-11-01,Present,8
900024,10002,2025-12-01,Present,8
900025,10003,2025-01-01,Present,8
900026,10003,2025-02-01,Present,8
900027,10003,2025-03-01,Work From Home,8
900028,10003,2025-04-01,Leave,0
900029,10003,2025-05-01,Present,8
900030,10003,2025-06-01,Leave,0
900031,10003,2025-07-01,Work From Home,8
900032,10003,2025-08-01,Present,8
900033,10003,2025-09-01,Present,8
900034,10003,2025-10-01,Present,8
900035,10003,2025-11-01,Leave,0
900036,10003,2025-12-01,Present,8
900037,10004,2025-01-01,Present,8
900038,10004,2025-02-01,Present,8
900039,10004,2025-03-01,Present,8
900040,10004,2025-04-01,Present,8
900041,10004,2025-05-01,Leave,0
900042,10004,2025-06-01,Present,8
900043,10004,2025-07-01,Work From Home,8
900044,10004,2025-08-01,Present,8
900045,10004,2025-09-01,Present,8
900046,10004,2025-10-01,Present,8
900047,10004,2025-11-01,Leave,0
900048,10004,2025-12-01,Present,8
900049,10005,2025-01-01,Present,8
900050,10005,2025-02-01,Present,8
900051,10005,2025-03-01,Present,8
900052,10005,2025-04-01,Present,8
900053,10005,2025-05-01,Present,8
900054,10005,2025-06-01,Present,8
900055,10005,2025-07-01,Present,8
900056,10005,2025-08-01,Absent,0
900057,10005,2025-09-01,Present,8
900058,10005,2025-10-01,Leave,0
