leave_id,employee_id,leave_type,start_date,leave_days,leave_status
950001,14098,Sick,2025-09-24,1,Approved
950002,13245,Casual,2025-02-17,5,Approved
950003,12935,Casual,2025-11-27,1,Approved
950004,13675,Sick,2025-05-18,5,Pending
950005,11969,Casual,2025-12-19,4,Approved
950006,10276,Earned,2025-04-28,1,Approved
950007,11069,Casual,2025-08-02,1,Rejected
950008,14064,Sick,2025-04-28,3,Approved
950009,12481,Earned,2025-02-17,2,Approved
950010,12112,Earned,2025-05-16,2,Rejected
950011,12284,Casual,2025-02-25,3,Approved
950012,10332,Earned,2025-08-05,1,Approved
950013,10433,Earned,2025-03-29,1,Approved
950014,11590,Sick,2025-06-22,4,Pending
950015,12945,Sick,2025-12-23,2,Rejected
950016,14491,Unpaid,2025-01-18,2,Approved
950017,14903,Earned,2025-12-11,1,Pending
950018,14061,Sick,2025-10-19,2,Approved
950019,12667,Unpaid,2025-03-30,1,Pending
950020,13125,Sick,2025-05-20,2,Pending
950021,12796,Unpaid,2025-07-17,1,Approved
950022,14851,Casual,2025-06-28,1,Rejected
950023,10284,Casual,2025-04-27,2,Approved
950024,14444,Unpaid,2025-05-09,1,Approved
950025,11225,Earned,2025-03-29,3,Approved
950026,13309,Earned,2025-10-29,1,Approved
950027,10428,Earned,2025-01-23,1,Rejected
950028,12772,Casual,2025-08-08,1,Approved
950029,10961,Casual,2025-04-13,3,Approved
950030,13851,Sick,2025-05-12,4,Approved
950031,11320,Casual,2025-05-11,1,Approved
950032,11074,Sick,2025-02-07,1,Approved
950033,10163,Sick,2025-11-09,1,Approved
950034,12945,Casual,2025-01-05,1,Pending
950035,14408,Earned,2025-03-13,3,Pending
950036,10707,Sick,2025-08-08,1,Rejected
950037,13445,Earned,2025-08-13,4,Pending
950038,10255,Unpaid,2025-06-22,1,Rejected
950039,14656,Casual,2025-05-31,3,Approved
950040,14105,Earned,2025-01-06,4,Approved
950041,13998,Sick,2025-10-03,2,Approved
950042,11813,Casual,2025-05-26,2,Approved
950043,12320,Earned,2025-05-24,1,Approved
950044,12919,Sick,2025-07-28,1,Approved
950045,14782,Earned,2025-06-23,2,Pending
950046,11564,Earned,2025-08-07,2,Approved
950047,10853,Sick,2025-01-21,5,Approved
950048,14525,Casual,2025-06-05,2,Rejected
950049,11581,Casual,2025-05-10,4,Approved
950050,10459,Unpaid,2025-07-10,1,Approved
950051,10289,Unpaid,2025-06-06,2,Rejected
950052,12788,Casual,2025-05-28,5,Approved
950053,11932,Casual,2025-05-06,5,Pending
950054,11245,Unpaid,2025-01-05,1,Approved
950055,10752,Earned,2025-02-18,1,Approved
950056,13999,Earned,2025-05-19,1,Rejected
950057,10482,Sick,2025-01-04,1,Pending
950058,13371,Casual,2025-05-30,1,Approved
950059,11221,Sick,2025-10-12,2,Approved
950060,14502,Casual,2025-03-02,2,Approved
950061,14390,Earned,2025-06-23,1,Approved
950062,13605,Sick,2025-05-25,2,Approved
950063,11986,Earned,2025-10-26,1,Approved
950064,12181,Earned,2025-03-17,1,Approved
950065,14895,Earned,2025-03-31,1,Rejected
950066,10706,Earned,2025-02-04,3,Approved
950067,10919,Earned,2025-03-13,3,Approved
950068,13579,Earned,2025-07-26,4,Approved
950069,13424,Unpaid,2025-12-14,4,Approved
950070,11416,Earned,2025-05-28,5,Approved
950071,11369,Earned,2025-10-29,1,Approved
950072,14068,Sick,2025-07-23,1,Pending
950073,11144,Earned,2025-03-09,2,Approved
950074,12686,Earned,2025-08-06,1,Pending
950075,11937,Sick,2025-11-17,2,Approved
950076,10883,Sick,2025-08-31,1,Approved
950077,10359,Earned,2025-05-09,3,Approved
950078,14330,Earned,2025-06-03,2,Approved
950079,12060,Sick,2025-10-23,2,Approved
950080,11204,Sick,2025-08-06,2,Approved
950081,10418,Sick,2025-01-07,1,Approved
950082,11115,Casual,2025-01-16,2,Approved
950083,13721,Casual,2025-09-04,3,Approved
950084,14924,Casual,2025-07-13,2,Approved
950085,11220,Earned,2025-04-21,1,Approved
950086,14837,Unpaid,2025-10-01,1,Approved
950087,11018,Earned,2025-07-16,4,Approved
950088,14096,Earned,2025-01-22,4,Approved
950089,10523,Earned,2025-01-30,4,Approved
950090,10468,Earned,2025-07-23,3,Approved
950091,11360,Casual,2025-06-09,1,Approved
950092,13739,Sick,2025-02-15,2,Approved
950093,10812,Sick,2025-08-13,2,Approved
950094,13490,Sick,2025-10-09,3,Approved
950095,12305,Earned,2025-02-08,2,Approved
950096,10375,Casual,2025-10-05,2,Approved
950097,12174,Sick,2025-06-08,2,Approved
950098,14933,Unpaid,2025-05-20,2,Pending
950099,12388,Earned,2025-04-30,2,Approved
950100,11527,Earned,2025-09-29,4,Approved
950101,14621,Sick,2025-03-25,1,Approved
950102,11888,Earned,2025-10-28,2,Approved
950103,10388,Sick,2025-04-22,1,Approved
950104,10860,Casual,2025-06-13,1,Approved
950105,14547,Sick,2025-08-26,1,Pending
950106,10060,Casual,2025-08-24,2,Approved
950107,11270,Earned,2025-04-12,2,Approved
950108,14493,Casual,2025-03-04,1,Approved
950109,11988,Earned,2025-10-13,2,Approved
950110,12884,Unpaid,2025-06-07,3,Approved
950111,14837,Earned,2025-09-17,1,Approved
950112,14897,Earned,2025-03-21,2,Approved
950113,13966,Sick,2025-05-16,4,Pending
950114,14093,Unpaid,2025-04-01,2,Approved
950115,13384,Earned,2025-12-01,1,Pending
950116,12331,Unpaid,2025-06-16,1,Approved
950117,14522,Earned,2025-01-14,1,Approved
950118,11702,Earned,2025-02-27,1,Approved
950119,12641,Casual,2025-08-14,1,Approved
950120,12272,Sick,2025-07-27,2,Pending
950121,10870,Earned,2025-04-16,2,Approved
950122,11754,Casual,2025-07-20,1,Approved
950123,14080,Casual,2025-06-21,2,Approved
950124,11378,Unpaid,2025-10-02,2,Approved
950125,11151,Sick,2025-02-25,1,Rejected
950126,11209,Casual,2025-02-18,2,Approved
950127,10539,Sick,2025-04-30,3,Approved
950128,14414,Casual,2025-02-23,3,Approved
950129,13787,Casual,2025-07-26,1,Pending
950130,11848,Casual,2025-05-20,1,Pending
950131,11777,Casual,2025-02-08,2,Rejected
950132,14848,Sick,2025-07-31,2,Approved
