review_id,employee_id,review_year,performance_rating,bonus_band,goal_status
700001,10001,2024,1.7,High,Met
700002,10001,2025,4.9,Medium,Met
700003,10002,2024,4.1,Medium,Met
700004,10002,2025,3.7,Medium,Met
700005,10003,2024,3.1,Medium,Met
700006,10003,2025,2.8,Medium,Partially Met
700007,10004,2024,2.9,Low,Exceeded
700008,10004,2025,3.3,High,Partially Met
700009,10005,2024,3.3,Medium,Exceeded
700010,10005,2025,3.1,Medium,Met
700011,10006,2024,3.7,Low,Met
700012,10006,2025,3.9,High,Exceeded
700013,10007,2024,2.1,Medium,Met
700014,10007,2025,3.0,Low,Partially Met
700015,10008,2024,3.7,High,Partially Met
700016,10008,2025,2.7,Medium,Met
700017,10009,2024,3.9,High,Exceeded
700018,10009,2025,2.9,High,Exceeded
700019,10010,2024,3.8,Medium,Met
700020,10010,2025,2.3,Medium,Exceeded
700021,10011,2024,3.1,Medium,Met
700022,10011,2025,3.4,High,Exceeded
700023,10012,2024,2.8,Medium,Met
700024,10012,2025,4.1,Medium,Met
700025,10013,2024,3.7,Medium,Met
700026,10013,2025,4.2,Medium,Met
700027,10014,2024,4.4,Low,Met
700028,10014,2025,3.3,Medium,Met
700029,10015,2024,3.4,Medium,Met
700030,10015,2025,3.2,Medium,Met
700031,10016,2024,3.6,Medium,Met
700032,10016,2025,4.1,High,Exceeded
700033,10017,2024,3.0,Low,Exceeded
700034,10017,2025,3.3,Medium,Met
700035,10018,2024,2.8,Medium,Exceeded
700036,10018,2025,3.8,Medium,Met
700037,10019,2024,3.6,Medium,Met
700038,10019,2025,3.7,Medium,Met
700039,10020,2024,3.2,Low,Met
700040,10020,2025,2.9,Medium,Exceeded
700041,10021,2024,4.6,Medium,Exceeded
700042,10021,2025,2.5,High,Exceeded
700043,10022,2024,3.0,Medium,Exceeded
700044,10022,2025,2.2,Medium,Partially Met
700045,10023,2024,3.2,Medium,Exceeded
700046,10023,2025,3.6,Medium,Met
700047,10024,2024,4.3,Medium,Met
700048,10024,2025,2.5,High,Met
700049,10025,2024,2.5,Medium,Met
700050,10025,2025,3.0,High,Met
700051,10026,2024,4.6,Low,Partially Met
700052,10026,2025,3.5,Low,Met
700053,10027,2024,2.3,Low,Met
700054,10027,2025,3.9,Low,Exceeded
700055,10028,2024,3.9,Low,Met
700056,10028,2025,3.4,Medium,Met
700057,10029,2024,4.3,High,Met
700058,10029,2025,3.8,Medium,Met
700059,10030,2024,3.9,Medium,Met
700060,10030,2025,3.1,Medium,Met
700061,10031,2024,4.3,Medium,Met
700062,10031,2025,4.5,High,Met
700063,10032,2024,4.1,Medium,Partially Met
700064,10032,2025,4.3,Medium,Met
700065,10033,2024,3.3,High,Met
700066,10033,2025,3.2,Medium,Partially Met
700067,10034,2024,2.4,Medium,Partially Met
700068,10034,2025,2.7,Medium,Met
700069,10035,2024,3.4,Medium,Met
700070,10035,2025,3.3,High,Partially Met
700071,10036,2024,3.0,High,Met
700072,10036,2025,2.1,Medium,Met
700073,10037,2024,3.1,Medium,Exceeded
700074,10037,2025,4.1,Medium,Met
700075,10038,2024,2.6,Medium,Met
700076,10038,2025,4.8,Low,Met
700077,10039,2024,4.1,High,Met
700078,10039,2025,2.1,Low,Met
700079,10040,2024,4.4,Low,Met
700080,10040,2025,3.3,Low,Met
700081,10041,2024,3.2,Medium,Met
700082,10041,2025,4.5,Medium,Met
700083,10042,2024,3.5,Low,Met
700084,10042,2025,3.6,Medium,Exceeded
700085,10043,2024,4.1,High,Met
700086,10043,2025,4.3,Medium,Exceeded
700087,10044,2024,3.3,Medium,Met
700088,10044,2025,3.0,Low,Exceeded
700089,10045,2024,3.6,Low,Met
700090,10045,2025,4.3,Medium,Exceeded
700091,10046,2024,3.6,Medium,Met
700092,10046,2025,2.4,Medium,Met
700093,10047,2024,4.4,Low,Met
700094,10047,2025,4.7,Medium,Partially Met
700095,10048,2024,1.8,Medium,Partially Met
700096,10048,2025,2.6,Medium,Met
700097,10049,2024,3.0,High,Met
700098,10049,2025,2.4,Medium,Exceeded
700099,10050,2024,4.4,Low,Exceeded
700100,10050,2025,2.5,Low,Exceeded
700101,10051,2024,3.6,Low,Met
700102,10051,2025,3.2,Low,Met
700103,10052,2024,2.1,High,Exceeded
