salary_id,employee_id,job_id,effective_from,effective_to,annual_salary_inr,annual_bonus_target_inr
500001,10001,103,2022-08-27,2024-08-28,75100.0,6200.0
500002,10001,103,2024-08-29,2025-12-31,85500.0,7600.0
500003,10002,106,2024-05-12,2025-05-11,87800.0,9400.0
500004,10002,106,2025-05-12,2025-12-31,92600.0,8400.0
500005,10003,115,2017-09-24,2025-12-31,91800.0,8600.0
500006,10004,101,2019-08-17,2023-06-13,46300.0,6700.0
500007,10004,101,2023-06-14,2025-12-31,50600.0,7400.0
500008,10005,107,2016-08-24,2022-04-04,147000.0,9000.0
500009,10005,107,2022-04-05,2025-12-31,140300.0,14000.0
500010,10006,107,2022-03-18,2025-12-31,125300.0,17800.0
500011,10007,111,2023-01-04,2025-12-31,100700.0,6200.0
500012,10008,109,2017-01-19,2022-06-02,95400.0,12100.0
500013,10008,109,2022-06-03,2025-12-31,94500.0,10800.0
500014,10009,107,2025-07-10,2025-12-31,140400.0,13100.0
500015,10010,104,2017-01-15,2025-12-31,101300.0,7200.0
500016,10011,106,2025-07-20,2025-12-31,75900.0,11300.0
500017,10012,109,2021-07-18,2024-03-19,95300.0,7900.0
500018,10012,109,2024-03-20,2025-12-31,118700.0,17700.0
500019,10013,106,2025-07-04,2026-07-03,74600.0,9300.0
500020,10013,106,2026-07-04,2025-12-31,96500.0,11200.0
500021,10014,117,2018-09-28,2025-12-31,84400.0,9600.0
500022,10015,109,2019-10-15,2025-12-31,87600.0,11200.0
500023,10016,101,2021-03-11,2025-12-31,49200.0,3700.0
500024,10017,112,2018-04-03,2022-11-25,55100.0,3600.0
500025,10017,112,2022-11-26,2025-12-31,67900.0,4500.0
500026,10018,107,2016-03-16,2025-12-31,126900.0,13600.0
500027,10019,111,2023-12-29,2025-03-12,86000.0,8100.0
500028,10019,111,2025-03-13,2025-12-31,107400.0,13700.0
500029,10020,107,2025-05-24,2026-05-23,120300.0,14800.0
500030,10020,107,2026-05-24,2025-12-31,157800.0,11600.0
500031,10021,109,2025-11-26,2026-11-25,85000.0,5500.0
500032,10021,109,2026-11-26,2025-12-31,91300.0,10000.0
500033,10022,113,2019-11-04,2025-12-31,88500.0,11100.0
500034,10023,114,2020-11-18,2025-12-31,47300.0,6100.0
500035,10024,105,2018-08-05,2025-12-31,87900.0,11500.0
500036,10025,107,2019-05-05,2023-05-02,122300.0,17300.0
500037,10025,107,2023-05-03,2025-12-31,154800.0,9100.0
500038,10026,108,2019-07-24,2025-12-31,50900.0,4100.0
500039,10027,114,2025-02-27,2025-12-31,43200.0,4500.0
500040,10028,114,2019-04-28,2023-04-30,47500.0,6900.0
500041,10028,114,2023-05-01,2025-12-31,40500.0,3400.0
500042,10029,104,2025-08-09,2026-08-08,121600.0,16900.0
500043,10029,104,2026-08-09,2025-12-31,123000.0,16500.0
500044,10030,103,2019-10-02,2025-12-31,68900.0,6000.0
500045,10031,108,2018-12-05,2023-03-03,49600.0,5300.0
500046,10031,108,2023-03-04,2025-12-31,53200.0,3600.0
500047,10032,104,2023-03-03,2024-11-12,114600.0,17100.0
500048,10032,104,2024-11-13,2025-12-31,135000.0,16300.0
500049,10033,105,2018-12-19,2025-12-31,82900.0,6600.0
500050,10034,104,2016-03-01,2022-01-23,99000.0,11200.0
500051,10034,104,2022-01-24,2025-12-31,111900.0,14100.0
500052,10035,111,2021-09-08,2024-04-09,86600.0,12600.0
500053,10035,111,2024-04-10,2025-12-31,91900.0,9200.0
500054,10036,117,2019-07-07,2023-05-28,85100.0,9600.0
500055,10036,117,2023-05-29,2025-12-31,108600.0,7500.0
500056,10037,117,2017-01-09,2025-12-31,100500.0,8000.0
500057,10038,106,2017-09-15,2022-09-06,84800.0,10500.0
500058,10038,106,2022-09-07,2025-12-31,79300.0,6700.0
500059,10039,111,2025-04-21,2026-04-20,88200.0,6900.0
500060,10039,111,2026-04-21,2025-12-31,115500.0,14400.0
500061,10040,115,2022-06-11,2025-12-31,77800.0,3900.0
500062,10041,103,2023-04-11,2024-11-27,69900.0,5500.0
500063,10041,103,2024-11-28,2025-12-31,69600.0,3800.0
500064,10042,111,2018-06-14,2025-12-31,95700.0,5800.0
500065,10043,107,2017-04-29,2025-12-31,141500.0,11200.0
500066,10044,106,2019-01-22,2023-03-22,86100.0,7100.0
500067,10044,106,2023-03-23,2025-12-31,95500.0,5200.0
500068,10045,106,2020-09-19,2023-11-20,72800.0,8500.0
500069,10045,106,2023-11-21,2025-12-31,98900.0,9000.0
500070,10046,101,2022-06-20,2024-08-01,42400.0,5900.0
500071,10046,101,2024-08-02,2025-12-31,52400.0,3800.0
500072,10047,111,2018-12-23,2025-12-31,96300.0,6400.0
500073,10048,106,2020-08-28,2025-12-31,78500.0,10400.0
500074,10049,107,2020-12-16,2023-12-25,145600.0,19100.0
500075,10049,107,2023-12-26,2025-12-31,152500.0,11600.0
500076,10050,104,2019-12-17,2025-12-31,112700.0,15900.0
500077,10051,115,2024-06-27,2025-06-26,93200.0,12300.0
500078,10051,115,2025-06-27,2025-12-31,101700.0,7200.0
500079,10052,108,2024-02-18,2025-04-01,47400.0,3000.0
500080,10052,108,2025-04-02,2025-12-31,55000.0,8000.0
500081,10053,108,2023-09-02,2025-12-31,50400.0,7300.0
500082,10054,109,2022-10-03,2025-12-31,105700.0,15100.0
500083,10055,105,2020-02-01,2025-12-31,79000.0,11800.0
500084,10056,105,2021-04-06,2024-02-07,88600.0,11900.0
500085,10056,105,2024-02-08,2025-12-31,85300.0,9500.0
500086,10057,112,2016-10-16,2022-04-25,51400.0,2600.0
500087,10057,112,2022-04-26,2025-12-31,66600.0,4200.0
500088,10058,103,2016-03-11,2025-12-31,70700.0,7900.0
500089,10059,103,2017-08-22,2025-12-31,69100.0,5900.0
500090,10060,113,2019-02-05,2023-03-28,99300.0,10500.0
500091,10060,113,2023-03-29,2025-12-31,101400.0,11200.0
500092,10061,107,2020-09-21,2023-11-20,143200.0,15200.0
500093,10061,107,2023-11-21,2025-12-31,162400.0,16500.0
500094,10062,105,2017-02-07,2025-12-31,85300.0,9000.0
500095,10063,109,2025-04-16,2026-04-15,92900.0,13300.0
500096,10063,109,2026-04-16,2025-12-31,97300.0,6000.0
500097,10064,109,2019-08-13,2025-12-31,97300.0,7600.0
500098,10065,111,2022-02-04,2024-06-08,93900.0,10300.0
500099,10065,111,2024-06-09,2025-12-31,111300.0,10000.0
500100,10066,111,2024-08-14,2025-12-31,101500.0,13600.0
500101,10067,111,2025-05-26,2026-05-25,89600.0,9800.0
500102,10067,111,2026-05-26,2025-12-31,113100.0,14600.0
500103,10068,113,2017-10-06,2025-12-31,110000.0,10300.0
500104,10069,106,2017-03-03,2025-12-31,86200.0,12100.0
500105,10070,105,2019-05-18,2025-12-31,84700.0,5900.0
500106,10071,108,2025-04-22,2026-04-21,58000.0,7700.0
500107,10071,108,2026-04-22,2025-12-31,55800.0,3100.0
500108,10072,107,2019-09-12,2025-12-31,131600.0,7700.0
500109,10073,117,2022-03-18,2025-12-31,89900.0,10300.0
500110,10074,113,2017-05-03,2022-07-14,106800.0,13200.0
500111,10074,113,2022-07-15,2025-12-31,104100.0,11800.0
500112,10075,104,2017-11-22,2022-10-03,125600.0,16300.0
500113,10075,104,2022-10-04,2025-12-31,131800.0,8600.0
500114,10076,102,2023-01-24,2024-10-27,92100.0,5900.0
500115,10076,102,2024-10-28,2025-12-31,106500.0,9800.0
500116,10077,101,2016-07-08,2022-03-16,39500.0,5900.0
500117,10077,101,2022-03-17,2025-12-31,54900.0,3500.0
500118,10078,105,2021-02-28,2024-01-23,82400.0,6600.0
500119,10078,105,2024-01-24,2025-12-31,104000.0,12700.0
500120,10079,104,2018-12-21,2025-12-31,122300.0,15300.0
500121,10080,108,2017-08-30,2025-12-31,58100.0,6900.0
500122,10081,114,2024-08-23,2025-08-22,44100.0,4500.0
500123,10081,114,2025-08-23,2025-12-31,52600.0,5300.0
500124,10082,113,2023-08-02,2025-01-11,91400.0,13000.0
500125,10082,113,2025-01-12,2025-12-31,120400.0,14800.0
500126,10083,106,2023-03-26,2024-11-21,69500.0,6800.0
500127,10083,106,2024-11-22,2025-12-31,99000.0,13600.0
500128,10084,107,2023-03-03,2025-12-31,136800.0,18600.0
500129,10085,108,2018-12-18,2023-03-08,46400.0,6600.0
500130,10085,108,2023-03-09,2025-12-31,54000.0,6600.0
500131,10086,113,2018-07-07,2025-12-31,88700.0,6200.0
500132,10087,113,2025-02-17,2026-02-16,104100.0,5600.0
500133,10087,113,2026-02-17,2025-12-31,104600.0,12200.0
500134,10088,114,2018-03-10,2022-11-15,38100.0,3400.0
500135,10088,114,2022-11-16,2025-12-31,44000.0,5100.0
500136,10089,109,2017-03-24,2025-12-31,82900.0,11600.0
500137,10090,111,2023-11-15,2025-02-22,97300.0,13100.0
500138,10090,111,2025-02-23,2025-12-31,104600.0,6200.0
500139,10091,104,2022-07-18,2024-08-12,119800.0,8700.0
500140,10091,104,2024-08-13,2025-12-31,124700.0,11600.0
500141,10092,108,2024-11-06,2025-11-05,57000.0,7000.0
500142,10092,108,2025-11-06,2025-12-31,60600.0,5300.0
500143,10093,107,2021-07-24,2024-03-22,133100.0,17500.0
500144,10093,107,2024-03-23,2025-12-31,148700.0,21900.0
500145,10094,109,2018-05-17,2022-12-12,108000.0,12900.0
500146,10094,109,2022-12-13,2025-12-31,114200.0,9500.0
500147,10095,110,2024-10-22,2025-12-31,54900.0,6900.0
500148,10096,107,2023-10-13,2025-02-09,126400.0,14700.0
500149,10096,107,2025-02-10,2025-12-31,162400.0,15200.0
500150,10097,101,2019-04-28,2023-04-30,49200.0,5800.0
500151,10097,101,2023-05-01,2025-12-31,47500.0,2600.0
500152,10098,101,2016-03-03,2025-12-31,42800.0,2400.0
500153,10099,102,2024-02-17,2025-12-31,85900.0,7200.0
500154,10100,102,2019-02-14,2023-03-31,95300.0,7400.0
500155,10100,102,2023-04-01,2025-12-31,88100.0,8100.0
500156,10101,104,2023-10-08,2025-02-07,117100.0,17100.0
500157,10101,104,2025-02-08,2025-12-31,127600.0,9900.0
500158,10102,105,2016-05-31,2022-03-01,78800.0,5700.0
500159,10102,105,2022-03-02,2025-12-31,88700.0,5300.0
500160,10103,106,2020-05-13,2025-12-31,87600.0,9800.0
500161,10104,117,2017-05-14,2022-07-18,103100.0,5800.0
